Country;Demonym;
Georgia;Abkhaz;
Georgia;Abkhazian;
Georgia;Abkhazia;
Georgia;Abkhazians;
Afghanistan;Afghan;
Afghanistan;Afghans;
Aland Islands;Åland Island;
Aland Islands;Ålanders;
Aland Islands;Ålanders;
Albania;Albanian;
Albania;Albanians;
Algeria;Algerian;
Algeria;Algerians;
American Samoa;American Samoan;
American Samoa;American Samoans;
Andorra;Andorran;
Andorra;Andorrans;
Angola;Angolan;
Angola;Angolans;
Anguilla;Anguillan;
Anguilla;Anguillans;
Antarctica;Antarctic;
Antarctica;Antarctic residents;
Antarctica;Antarcticans;
Antarctica;Antarcticans;
Antigua and Barbuda;Antiguan;
Antigua and Barbuda;Barbudan;
Antigua and Barbuda;Antiguans;
Antigua and Barbuda;Barbudans;
Argentina;Argentine;
Argentina;Argentinian;
Argentina;Argentines;
Argentina;Argentinians;
Armenia;Armenian;
Armenia;Armenians;
Aruba;Aruban;
Aruba;Arubans;
Australia;Australian;
Australia;Australians;
Austria;Austrian;
Austria;Austrians;
Azerbaijan;Azerbaijani;
Azerbaijan;Azeri;
Azerbaijan;Azerbaijanis;
Azerbaijan;Azeris;
Bahamas;Bahamian;
Bahamas;Bahamians;
Bahrain;Bahraini;
Bahrain;Bahrainis;
Bangladesh;Bangladeshi;
Bangladesh;Bangladeshis;
Barbados;Barbadian;
Barbados;Barbadians;
Belarus;Belarusian;
Belarus;Belarusians;
Belgium;Belgian;
Belgium;Belgians;
Belize;Belizean;
Belize;Belizeans;
Benin;Beninese;
Benin;Beninois;
Bermuda;Bermudian;
Bermuda;Bermudan;
Bermuda;Bermudians;
Bermuda;Bermudans;
Bhutan;Bhutanese;
Bhutan;Bhutanese;
Bolivia;Bolivian;
Bolivia;Bolivians;
Bonaire, Saint Eustatius and Saba ;Bonaire;
Bonaire, Saint Eustatius and Saba ;Bonairean;
Bonaire, Saint Eustatius and Saba ;Bonaire Dutch;
Bosnia and Herzegovina;Bosnian;
Bosnia and Herzegovina;Herzegovinian;
Bosnia and Herzegovina;Bosnians;
Bosnia and Herzegovina;Herzegovinians;
Botswana;Botswana;
Botswana;Batswana;
Botswana;Motswana;
Bouvet Island;Bouvet Island;
Bouvet Island;Bouvet Islanders;
Brazil;Brazilian;
Brazil;Brazilians;
British Indian Ocean Territory;BIOT;
British Indian Ocean Territory;British;
Brunei;Bruneian;
Brunei;Bruneians;
Bulgaria;Bulgarian;
Bulgaria;Bulgarians;
Burkina Faso;Burkinabé;
Burkina Faso;Burkinabè;
Burkina Faso;Burkinabé;
Burundi;Burundian;
Burundi;Burundians;
Burundi;Barundi;
Cabo Verde;Cabo Verdean;
Cabo Verde;Cabo Verdeans;
Cambodia;Cambodian;
Cambodia;Cambodians;
Cameroon;Cameroonian;
Cameroon;Cameroonians;
Canada;Canadian;
Canada;Canadians;
Cayman Islands;Caymanian;
Cayman Islands;Caymanians;
Central African Republic;Central African;
Central African Republic;Central Africans;
Chad;Chadian;
Chad;Chadians;
Chile;Chilean;
Chile;Chileans;
China;Chinese;
China;Chinese;
Christmas Island;Christmas Island;
Christmas Island;Christmas Islanders;
Cocos Islands;Keeling Islands;
Cocos Islands;Cocos Island;
Cocos Islands;Cocos Islanders;
Colombia;Colombian;
Colombia;Colombians;
Comoros;Comoran;
Comoros;Comorian;
Comoros;Comorans;
Comoros;Comorians;
Democratic Republic of the Congo;Congolese;
Democratic Republic of the Congo;Congolese;
Republic of the Congo;Congolese;
Republic of the Congo;Congolese;
Cook Islands;Cook Island;
Cook Islands;Cook Islanders;
Costa Rica;Costa Rican;
Costa Rica;Costa Ricans;
Croatia;Croatian;
Croatia;Croatians;
Croatia;Croats;
Cuba;Cuban;
Cuba;Cubans;
Curacao;Curacaoan;
Curacao;Curacaoans;
Curacao;Curaçaoan;
Curacao;Curaçaoans;
Cyprus;Cypriot;
Cyprus;Cypriots;
Czechia;Czech;
Czechia;Czechs;
Denmark;Danish;
Denmark;Danes;
Denmark;Dane;
Djibouti;Djiboutian;
Djibouti;Djiboutians;
Dominica;Dominican;
Dominica;Dominicans;
Dominican Republic;Dominican;
Dominican Republic;Dominicans;
Timor Leste;Timorese;
Timor Leste;Timorese;
Ecuador;Ecuadorian;
Ecuador;Ecuadorians;
Egypt;Egyptian;
Egypt;Egyptians;
El Salvador;Salvadoran;
El Salvador;Salvadorans;
El Salvador;Salvadorians;
El Salvador;Salvadoreans;
El Salvador;Salvadorian;
United Kingdom;English;
United Kingdom;English;
United Kingdom;Englishmen;
United Kingdom;Englishwomen;
United Kingdom;Englishman;
United Kingdom;Englishwoman;
Equatorial Guinea;Equatorial Guinean;
Equatorial Guinea;Equatoguinean;
Equatorial Guinea;Equatorial Guineans;
Equatorial Guinea;Equatoguineans;
Eritrea;Eritrean;
Eritrea;Eritreans;
Estonia;Estonian;
Estonia;Estonians;
Eswatini;Swazi;
Eswatini;Swati;
Eswatini;Swazis;
Ethiopia;Ethiopian;
Ethiopia;Ethiopians;
Ethiopia;Habesha;
Falkland Islands;Falkland Island;
Falkland Islands;Falkland Islanders;
Faroe Islands;Faroese;
Faroe Islands;Faroese;
Fiji;Fijian;
Fiji;Fijians;
Finland;Finnish;
Finland;Finns;
Finland;Finn;
France;French;
France;French;
France;Frenchmen;
France;Frenchwomen;
France;Frenchman;
France;Frenchwoman;
French Guiana;French Guianese;
French Guiana;French Guianese;
French Polynesia;French Polynesian;
French Polynesia;French Polynesians;
French Southern Territories;French Southern Territories;
French Southern Territories;French;
Gabon;Gabonese;
Gabon;Gabonese;
Gabon;Gabonaise;
Gambia;Gambian;
Gambia;Gambians;
Georgia;Georgian;
Georgia;Georgians;
Germany;German;
Germany;Germans;
Ghana;Ghanaian;
Ghana;Ghanaians;
Gibraltar;Gibraltar;
Gibraltar;Gibraltarians;
Gibraltar;Gibraltarian;
Greece;Greek;
Greece;Hellenic;
Greece;Greeks;
Greece;Hellenes;
Greenland;Greenland;
Greenland;Greenlander;
Greenland;Greenlanders;
Grenada;Grenadian;
Grenada;Grenadians;
Guadeloupe;Guadeloupe;
Guadeloupe;Guadeloupians;
Guadeloupe;Guadeloupeans;
Guadeloupe;Guadeloupian;
Guadeloupe;Guadeloupean;
Guam;Guamanian;
Guam;Guamanians;
Guatemala;Guatemalan;
Guatemala;Guatemalans;
Guernsey;Guernsey;
Guernsey;Guernseymen;
Guernsey;Guernseywomen;
Guernsey;Guernseyman;
Guernsey;Guernseywoman;
Guinea;Guinean;
Guinea;Guineans;
Guinea-Bissau;Bissau-Guinean;
Guinea-Bissau;Bissau-Guineans;
Guyana;Guyanese;
Guyana;Guyanese;
Haiti;Haitian;
Haiti;Haitians;
Heard Island and McDonald Islands;Heard Island;
Heard Island and McDonald Islands;McDonald Island;
Heard Island and McDonald Islands;Heard Islanders;
Heard Island and McDonald Islands;McDonald Islanders;
Heard Island and McDonald Islands;Heard Islander;
Heard Island and McDonald Islands;McDonald Islander;
Honduras;Honduran;
Honduras;Hondurans;
Hong Kong;Hong Kong;
Hong Kong;Cantonese;
Hong Kong;Hong Konger;
Hong Kong;Hongkongers;
Hong Kong;Hong Kongese;
Hungary;Hungarian;
Hungary;Magyar;
Hungary;Hungarians;
Hungary;Magyars;
Iceland;Icelandic;
Iceland;Icelanders;
Iceland;Icelander;
India;Indian;
India;Indians;
Indonesia;Indonesian;
Indonesia;Indonesians;
Iran;Iranian;
Iran;Persian;
Iran;Iranians;
Iran;Persians;
Iraq;Iraqi;
Iraq;Iraqis;
Ireland;Irish;
Ireland;Irish;
Ireland;Irishmen;
Ireland;Irishwomen;
Ireland;Irishman;
Ireland;Irishwoman;
Isle of Man;Manx;
Isle of Man;Manx;
Isle of Man;Manxmen;
Isle of Man;Manxwomen;
Isle of Man;Manxman;
Isle of Man;Manxwoman;
Israel;Israeli;
Israel;Israelite;
Israel;Israelis;
Israel;Isrealites;
Italy;Italian;
Italy;Italians;
Ivory Coast;Ivorian;
Ivory Coast;Ivorians;
Jamaica;Jamaican;
Jamaica;Jamaicans;
Svalbard and Jan Mayen;Jan Mayen;
Svalbard and Jan Mayen;Jan Mayen residents;
Japan;Japanese;
Japan;Japanese;
Jersey;Jersey;
Jersey;Jerseymen;
Jersey;Jerseywomen;
Jersey;Jersian;
Jersey;Jèrriais;
Jersey;Jerseyman;
Jersey;Jerseywoman;
Jordan;Jordanian;
Jordan;Jordanians;
Kazakhstan;Kazakhstani;
Kazakhstan;Kazakh;
Kazakhstan;Kazakhstanis;
Kazakhstan;Kazakhs;
Kenya;Kenyan;
Kenya;Kenyans;
Kiribati;Kiribati;
Kiribati;I-Kiribati;
North Korea;North Korean;
North Korea;Koreans;
North Korea;North Koreans;
South Korea;South Korean;
South Korea;Koreans;
South Korea;South Koreans;
Kosovo;Kosovar;
Kosovo;Kosovan;
Kosovo;Kosovars;
Kuwait;Kuwaiti;
Kuwait;Kuwaitis;
Kyrgyzstan;Kyrgyzstani;
Kyrgyzstan;Kyrgyz;
Kyrgyzstan;Kirgiz;
Kyrgyzstan;Kirghiz;
Kyrgyzstan;Kyrgyzstanis;
Kyrgyzstan;Kyrgyz;
Kyrgyzstan;Kirgiz;
Kyrgyzstan;Kirghiz;
Laos;Lao;
Laos;Laotian;
Laos;Laos;
Laos;Laotians;
Latvia;Latvian;
Latvia;Lettish;
Latvia;Latvians;
Latvia;Letts;
Lebanon;Lebanese;
Lebanon;Lebanese;
Lesotho;Basotho;
Lesotho;Basotho;
Lesotho;Mosotho;
Liberia;Liberian;
Liberia;Liberians;
Libya;Libyan;
Libya;Libyans;
Liechtenstein;Liechtensteiner;
Liechtenstein;Liechtensteiners;
Lithuania;Lithuanian;
Lithuania;Lithuanians;
Luxembourg;Luxembourg;
Luxembourg;Luxembourgish;
Luxembourg;Luxembourgers;
Luxembourg;Luxembourger;
Macao;Macanese;
Macao;Macanese;
Madagascar;Malagasy;
Madagascar;Madagascan;
Madagascar;Malagasy;
Madagascar;Madagascans;
Malawi;Malawian;
Malawi;Malawians;
Malaysia;Malaysian;
Malaysia;Malaysians;
Maldives;Maldivian;
Maldives;Maldivians;
Mali;Malian;
Mali;Malinese;
Mali;Malians;
Malta;Maltese;
Malta;Maltese;
Marshall Islands;Marshallese;
Marshall Islands;Marshallese;
Martinique;Martiniquais;
Martinique;Martinican;
Martinique;Martiniquais;
Martinique;Martiniquaises;
Mauritania;Mauritanian;
Mauritania;Mauritanians;
Mauritius;Mauritian;
Mauritius;Mauritians;
Mayotte;Mahoran;
Mayotte;Mahorans;
Mexico;Mexican;
Mexico;Mexicans;
Micronesia;Micronesian;
Micronesia;Micronesians;
Moldova;Moldovan;
Moldova;Moldovans;
Monaco;Monégasque;
Monaco;Monacan;
Monaco;Monégasques;
Monaco;Monacans;
Mongolia;Mongolian;
Mongolia;Mongolians;
Mongolia;Mongols;
Montenegro;Montenegrin;
Montenegro;Montenegrins;
Montserrat;Montserratian;
Montserrat;Montserratians;
Morocco;Moroccan;
Morocco;Moroccans;
Mozambique;Mozambican;
Mozambique;Mozambicans;
Myanmar;Myanma;
Myanmar;Burmese;
Myanmar;Myanmar;
Namibia;Namibian;
Namibia;Namibians;
Nauru;Nauruan;
Nauru;Nauruans;
Nepal;Nepali;
Nepal;Nepalese;
Nepal;Nepalis;
Nepal;Nepalese;
Netherlands;Dutch;
Netherlands;Dutch;
Netherlands;Dutchmen;
Netherlands;Dutchwomen;
Netherlands;Netherlanders;
Netherlands;Netherlander;
Netherlands;Dutchwoman;
Netherlands;Dutchman;
New Caledonia;New Caledonian;
New Caledonia;New Caledonians;
New Zealand;New Zealand;
New Zealand;New Zealanders;
New Zealand;New Zealander;
Nicaragua;Nicaraguan;
Nicaragua;Nicaraguans;
Niger;Nigerien;
Niger;Nigeriens;
Nigeria;Nigerian;
Nigeria;Nigerians;
Niue;Niuean;
Niue;Niueans;
Norfolk Island;Norfolk Island;
Norfolk Island;Norfolk Islanders;
Norfolk Island;Norfolk Islander;
North Macedonia;Macedonian;
North Macedonia;Macedonians;
United Kingdom;Northern Irish;
United Kingdom;Northern Irish;
United Kingdom;Northern Irishmen;
United Kingdom;Northern Irishwomen;
United Kingdom;Northern Irishman;
United Kingdom;Northern Irishwoman;
Northern Mariana Islands;Northern Marianan;
Northern Mariana Islands;Northern Marianans;
Norway;Norwegian;
Norway;Norwegians;
Oman;Omani;
Oman;Omanis;
Pakistan;Pakistani;
Pakistan;Pakistanis;
Palau;Palauan;
Palau;Palauans;
Palestinian Territory;Palestinian;
Palestinian Territory;Palestinians;
Panama;Panamanian;
Panama;Panamanians;
Papua New Guinea;Papua New Guinean;
Papua New Guinea;Papuan;
Papua New Guinea;Papua New Guineans;
Papua New Guinea;Papuans;
Paraguay;Paraguayan;
Paraguay;Paraguayans;
Peru;Peruvian;
Peru;Peruvians;
Philippines;Filipino;
Philippines;Philippine;
Philippines;Filipinos;
Philippines;Filipinas;
Philippines;Filipina;
Pitcairn;Pitcairn Island;
Pitcairn;Pitcairn Islanders;
Pitcairn;Pitcairn Islander;
Poland;Polish;
Poland;Poles;
Poland;Pole;
Portugal;Portuguese;
Portugal;Portuguese;
Puerto Rico;Puerto Rican;
Puerto Rico;Puerto Ricans;
Qatar;Qatari;
Qatar;Qataris;
Reunion;Réunionese;
Reunion;Réunionnais;
Reunion;Réunionese;
Reunion;Réunionnais;
Reunion;Réunionnaises;
Romania;Romanian;
Romania;Romanians;
Russia;Russian;
Russia;Russians;
Rwanda;Rwandan;
Rwanda;Rwandans;
Rwanda;Banyarwanda;
Bonaire, Saint Eustatius and Saba ;Saban;
Bonaire, Saint Eustatius and Saba ;Saba Dutch;
Saint Barthelemy;Barthélemois;
Saint Barthelemy;Barthélemois;
Saint Barthelemy;Barthélemoises;
Saint Helena;Ascension and Tristan da Cunha;
Saint Helena;Saint Helenian;
Saint Helena;Saint Helenians;
Saint Kitts and Nevis;Kittitian;
Saint Kitts and Nevis;Nevisian;
Saint Kitts and Nevis;Kittitians;
Saint Kitts and Nevis;Nevisians;
Saint Lucia;Saint Lucian;
Saint Lucia;Saint Lucians;
Saint Martin;Saint-Martinoise;
Saint Martin;Saint-Martinois;
Saint Martin;Saint-Martinoises;
Saint Pierre and Miquelon;Saint-Pierrais;
Saint Pierre and Miquelon;Miquelonnais;
Saint Pierre and Miquelon;Saint-Pierrais;
Saint Pierre and Miquelon;Saint-Pierraises;
Saint Pierre and Miquelon;Miquelonnais;
Saint Pierre and Miquelon;Miquelonnaises;
Saint Vincent and the Grenadines;Saint Vincentian;
Saint Vincent and the Grenadines;Vincentian;
Saint Vincent and the Grenadines;Saint Vincentians;
Saint Vincent and the Grenadines;Vincentians;
Western Sahara;Sahrawi;
Western Sahara;Western Saharan;
Western Sahara;Sahrawian;
Western Sahara;Sahrawis;
Western Sahara;Western Saharans;
Samoa;Samoan;
Samoa;Samoans;
San Marino;Sammarinese;
San Marino;Sammarinese;
Sao Tome and Principe;São Toméan;
Sao Tome and Principe;São Toméans;
Saudi Arabia;Saudi;
Saudi Arabia;Saudi Arabian;
Saudi Arabia;Saudis;
Saudi Arabia;Saudi Arabians;
United Kingdom;Scottish;
United Kingdom;Scots;
United Kingdom;Scotsmen;
United Kingdom;Scotswomen;
United Kingdom;Scotsman;
United Kingdom;Scotswoman;
Senegal;Senegalese;
Senegal;Senegalese;
Serbia;Serbian;
Serbia;Serbs;
Serbia;Serbians;
Seychelles;Seychellois;
Seychelles;Seychellois;
Seychelles;Seychelloises;
Sierra Leone;Sierra Leonean;
Sierra Leone;Sierra Leoneans;
Singapore;Singapore;
Singapore;Singaporean;
Singapore;Singaporeans;
Bonaire, Saint Eustatius and Saba ;Sint Eustatius;
Bonaire, Saint Eustatius and Saba ;Statian;
Bonaire, Saint Eustatius and Saba ;Statians;
Sint Maarten;Sint Maarten;
Sint Maarten;Sint Maarteners;
Sint Maarten;Sint Maartener;
Slovakia;Slovak;
Slovakia;Slovaks;
Slovakia;Slovakians;
Slovakia;Slovakian;
Slovenia;Slovenian;
Slovenia;Slovene;
Slovenia;Slovenes;
Slovenia;Slovenians;
Solomon Islands;Solomon Island;
Solomon Islands;Solomon Islanders;
Solomon Islands;Solomon Islander;
Somalia;Somali;
Somalia;Somalis;
South Africa;South African;
South Africa;South Africans;
South Georgia and the South Sandwich Islands;South Georgia Island;
South Georgia and the South Sandwich Islands;South Sandwich Island;
South Georgia and the South Sandwich Islands;South Georgia Islanders;
South Georgia and the South Sandwich Islands;South Sandwich Islanders;
South Georgia and the South Sandwich Islands;South Georgia Islander;
South Georgia and the South Sandwich Islands;South Sandwich Islander;
Georgia;South Ossetia;
Georgia;South Ossetian;
Georgia;South Ossetians;
South Sudan;South Sudanese;
South Sudan;South Sudanese;
Spain;Spanish;
Spain;Spaniards;
Spain;Spaniard;
Sri Lanka;Sri Lankan;
Sri Lanka;Sri Lankans;
Sudan;Sudanese;
Sudan;Sudanese;
Suriname;Surinamese;
Suriname;Surinamers;
Svalbard and Jan Mayen;Svalbard;
Svalbard and Jan Mayen;Svalbard residents;
Sweden;Swedish;
Sweden;Swedes;
Sweden;Swede;
Switzerland;Swiss;
Switzerland;Swiss;
Syria;Syrian;
Syria;Syrians;
Taiwan;Taiwanese;
Taiwan;Formosan;
Taiwan;Taiwanese;
Taiwan;Formosans;
Tajikistan;Tajikistani;
Tajikistan;Tajikistanis;
Tajikistan;Tajiks;
Tajikistan;Tajik;
Tanzania;Tanzanian;
Tanzania;Tanzanians;
Thailand;Thai;
Thailand;Thai;
Togo;Togolese;
Togo;Togolese;
Tokelau;Tokelauan;
Tokelau;Tokelauans;
Tonga;Tongan;
Tonga;Tongans;
Trinidad and Tobago;Trinidadian;
Trinidad and Tobago;Tobagonian;
Trinidad and Tobago;Trinidadians;
Trinidad and Tobago;Tobagonians;
Tunisia;Tunisian;
Tunisia;Tunisians;
Turkey;Turkish;
Turkey;Turks;
Turkey;Turk;
Turkmenistan;Turkmen;
Turkmenistan;Turkmens;
Turks and Caicos Islands;Turks and Caicos Island;
Turks and Caicos Islands;Turks and Caicos Islanders;
Turks and Caicos Islands;Turks and Caicos Islander;
Tuvalu;Tuvaluan;
Tuvalu;Tuvaluans;
Uganda;Ugandan;
Uganda;Ugandans;
Ukraine;Ukrainian;
Ukraine;Ukrainians;
United Arab Emirates;Emirati;
United Arab Emirates;Emirian;
United Arab Emirates;Emiri;
United Arab Emirates;Emiratis;
United Arab Emirates;Emirians;
United Arab Emirates;Emiri;
United Kingdom;British;
United Kingdom;United Kingdom;
United Kingdom;UK;
United Kingdom;Britons;
United Kingdom;British people;
United States of America;American;
United States of America;United States;
United States of America;U.S.;
United States of America;Americans;
Uruguay;Uruguayan;
Uruguay;Uruguayans;
Uzbekistan;Uzbekistani;
Uzbekistan;Uzbek;
Uzbekistan;Uzbekistanis;
Uzbekistan;Uzbeks;
Vanuatu;Ni-Vanuatu;
Vanuatu;Vanuatuan;
Vanuatu;Ni-Vanuatu;
Vatican;Vaticanian;
Vatican;Vaticanians;
Venezuela;Venezuelan;
Venezuela;Venezuelans;
Vietnam;Vietnamese;
Vietnam;Vietnamese;
British Virgin Islands;British Virgin Island;
British Virgin Islands;British Virgin Islanders;
British Virgin Islands;British Virgin Islander;
U.S. Virgin Islands;U.S. Virgin Island;
U.S. Virgin Islands;U.S. Virgin Islanders;
U.S. Virgin Islands;U.S. Virgin Islander;
United Kingdom;Welsh;
United Kingdom;Welshmen;
United Kingdom;Welshwomen;
United Kingdom;Welshman;
United Kingdom;Welshwoman;
Wallis and Futuna;Wallis and Futuna;
Wallis and Futuna;Wallisian;
Wallis and Futuna;Futunan;
Wallis and Futuna;Wallis and Futuna Islanders;
Wallis and Futuna;Wallisians;
Wallis and Futuna;Futunans;
Western Sahara;Sahrawi;
Western Sahara;Sahrawian;
Western Sahara;Sahraouian;
Western Sahara;Sahrawis;
Western Sahara;Sahraouis;
Yemen;Yemeni;
Yemen;Yemenis;
Zambia;Zambian;
Zambia;Zambians;
Tanzania;Zanzibari;
Tanzania;Zanzibaris;
Zimbabwe;Zimbabwean;
Zimbabwe;Zimbabweans;
Tanzania;Zanzibar;